"","id","marmoset","marmoset2"
"1","Activated Fibrotic Fibroblasts","97","209"
"2","Activated Tenocytes-like fibroblasts","47","48"
"3","Basal Keratinocyte","117","452"
"4","Dermal Fibroblasts","739","688"
"5","Early Differentiating Kcyte","136","0"
"6","Early Endothelial Cells","586","0"
"7","Early smooth muscle cells (transitioning from pericytes)","993","1022"
"8","Embyonic Myogenic Progenitor Cells","76","103"
"9","Endothelial Progenitor Cells","966","6551"
"10","Lymphatic endothelial","0","36"
"11","Macrophages","14","58"
"12","Mature Endothelial Cells","430","654"
"13","Mucosal Epithelial Cells","175","0"
"14","Myelinating Schwann Cells","43","77"
"15","Pericytes","249","73"
"16","Secretary Epithelial Cells","39","0"
"17","Skeletal Muscle Satellite Cells","1749","1666"
"18","Skeletal muscle cells","27","413"
"19","Smooth Muscle Cells","355","271"
"20","T cells","335","462"
"21","Unmyelinating Schwann Cells","25","82"
